Tempo di misurazione,Peso(kg),BMI,Grasso corporeo(%),Peso corporeo senza grassi(kg),Grasso sottocutaneo(%),Grasso viscerale,Acqua corporea(%),Muscolo scheletrico(%),Massa muscolare(kg),Massa ossea(kg),Proteine(%),BMR(kcal),Età metabolica,Peso ottimale(kg),Obiettivo per un peso ottimale(kg),Obiettivo per una massa grassa ottimale(kg),Obiettivo per una massa muscolare ottimale(kg),Tipo di corpo,Osservazioni
2024-04-04 07:35:19,64.60,19.7,15.9,54.30,14.6,3.0,60.7,54.3,51.60,2.72,19.2,1543,39,,,,,,
2024-04-05 07:30:02,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-04-06 09:16:24,64.70,19.7,16.0,54.30,14.8,3.0,60.6,54.3,51.60,2.70,19.1,1543,39,,,,,,
2024-04-07 09:07:31,64.30,19.6,15.7,54.20,14.5,3.0,60.8,54.4,51.50,2.70,19.2,1540,39,,,,,,
2024-04-08 07:32:47,64.35,19.6,15.8,54.20,14.6,3.0,60.8,54.4,51.50,2.70,19.2,1540,39,,,,,,
2024-04-09 07:34:36,64.65,19.7,16.0,54.30,14.7,3.0,60.6,54.3,51.60,2.72,19.2,1543,39,,,,,,
2024-04-10 08:18:33,64.85,19.8,16.1,54.40,14.9,3.0,60.6,54.2,51.70,2.70,19.1,1545,38,,,,,,
2024-04-11 07:37:06,64.50,19.7,15.9,54.30,14.6,3.0,60.8,54.4,51.50,2.72,19.1,1541,39,,,,,,
2024-04-12 07:33:19,64.95,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1545,38,,,,,,
2024-04-13 08:37:07,64.95,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1545,38,,,,,,
2024-04-14 09:17:37,64.20,19.6,15.7,54.10,14.5,3.0,60.8,54.4,51.40,2.71,19.2,1539,39,,,,,,
2024-04-15 07:37:27,64.60,19.7,16.0,54.30,14.7,3.0,60.7,54.3,51.60,2.70,19.2,1542,39,,,,,,
2024-04-16 07:31:07,64.85,19.8,16.1,54.40,14.8,3.0,60.6,54.2,51.70,2.72,19.1,1545,38,,,,,,
2024-04-17 08:28:53,65.40,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
2024-04-18 08:02:30,64.70,19.7,16.0,54.30,14.8,3.0,60.6,54.3,51.60,2.70,19.2,1543,39,,,,,,
2024-04-19 07:28:39,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-04-20 08:25:01,65.35,19.9,16.5,54.60,15.2,3.0,60.3,54.0,51.80,2.73,19.0,1548,38,,,,,,
2024-04-21 09:05:05,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-04-22 07:31:36,65.35,19.9,16.5,54.60,15.2,3.0,60.3,54.0,51.90,2.70,19.0,1549,38,,,,,,
2024-04-23 07:40:13,65.40,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
2024-04-24 08:24:01,65.45,20.0,16.5,54.60,15.2,3.0,60.2,53.9,51.90,2.73,19.1,1550,38,,,,,,
2024-04-25 09:02:31,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-04-26 08:31:15,65.25,19.9,16.4,54.50,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-04-27 06:05:04,64.90,19.8,16.2,54.40,14.9,3.0,60.5,54.2,51.70,2.70,19.1,1545,38,,,,,,
2024-04-28 09:29:53,64.35,19.6,15.8,54.20,14.6,3.0,60.8,54.4,51.50,2.70,19.2,1540,39,,,,,,
2024-04-29 07:30:50,65.10,19.9,16.3,54.50,15.0,3.0,60.4,54.1,51.80,2.73,19.1,1546,38,,,,,,
2024-04-30 07:27:20,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-01 08:54:24,65.45,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
2024-05-02 09:33:53,65.65,20.0,16.7,54.70,15.3,3.0,60.2,53.8,52.00,2.74,19.0,1551,38,,,,,,
2024-05-03 07:31:06,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-04 08:52:50,65.00,19.8,16.2,54.50,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1546,38,,,,,,
2024-05-05 09:08:46,64.90,19.8,16.1,54.40,14.9,3.0,60.5,54.2,51.70,2.70,19.1,1545,38,,,,,,
2024-05-06 07:32:24,65.00,19.8,16.2,54.50,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1546,38,,,,,,
2024-05-07 07:40:44,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
